Price,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,GOOG,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-26,,283.7799987792969,232.69000244140625,,550.25,73.80999755859375,285.95001220703125,233.89999389648438,,556.8499755859375,75.19999694824219,274.2099914550781,226.1300048828125,,540.4000244140625,71.52999877929688,275.0,227.2100067138672,,543.3400268554688,71.69000244140625,261775500,248372100,,18867700,74990300
2026-06-29,,281.739990234375,240.13999938964844,,562.5999755859375,73.77999877929688,288.3699951171875,249.7100067138672,,570.9000244140625,76.06999969482422,279.8500061035156,233.8000030517578,,558.0,73.7300033569336,286.7300109863281,234.22000122070312,,560.0,74.62000274658203,66427000,77619200,,15011400,42429600
2026-06-30,,289.3599853515625,238.33999633789062,,563.2899780273438,71.4000015258789,289.94000244140625,241.5399932861328,,565.5399780273438,73.75,280.70001220703125,237.1699981689453,,551.4299926757812,71.0,281.1700134277344,237.35000610351562,,560.9400024414062,73.58999633789062,65100200,66228300,,18111100,49240900
2026-07-01,,294.3800048828125,241.6999969482422,,612.9099731445312,74.19000244140625,296.5899963378906,244.89999389648438,,628.280029296875,74.36000061035156,289.20001220703125,234.89999389648438,,595.0999755859375,72.33000183105469,293.44000244140625,239.75,,607.9099731445312,72.58999633789062,50164200,53829900,,45536300,43841800
2026-07-02,,308.6300048828125,242.6699981689453,,582.9000244140625,77.6500015258789,309.4200134277344,246.72000122070312,,610.0,78.44000244140625,293.67999267578125,241.0800018310547,,580.4199829101562,74.91000366210938,294.1199951171875,241.61000061035156,,607.9000244140625,75.08999633789062,75400600,48298100,,21750500,55541700
