Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,267.6099853515625,261.1199951171875,348.5199890136719,678.6199951171875,91.37000274658203,268.3599853515625,264.1499938964844,350.8999938964844,682.5,92.83999633789062,265.07000732421875,260.3399963378906,340.80999755859375,670.8400268554688,91.30000305175781,266.0899963378906,263.4599914550781,343.8800048828125,671.0,92.05000305175781,41466800,44906800,17443000,12805200,29707400
2026-04-28,270.7099914550781,259.70001220703125,347.5,671.3400268554688,92.2699966430664,273.2300109863281,261.0299987792969,349.8999938964844,678.1799926757812,92.33999633789062,268.6600036621094,256.6300048828125,344.2799987792969,665.6300048828125,90.0199966430664,272.3399963378906,258.3900146484375,346.9200134277344,674.239990234375,91.5,40018900,42204400,18502300,10606800,33418100
2026-04-29,270.1700134277344,263.0400085449219,347.30999755859375,669.1199951171875,92.12000274658203,271.0400085449219,265.9100036621094,353.3999938964844,674.25,92.86000061035156,267.0400085449219,257.70001220703125,342.42999267578125,663.8099975585938,90.86000061035156,267.54998779296875,257.989990234375,345.4800109863281,668.9099731445312,91.2300033569336,30047900,72367900,22232200,18947500,26122100
2026-04-30,271.3500061035156,265.05999755859375,381.94000244140625,611.9099731445312,93.61000061035156,276.0,273.8800048828125,382.6300048828125,620.8499755859375,94.22000122070312,268.1400146484375,256.1600036621094,363.0899963378906,600.0,90.7699966430664,270.5,273.1700134277344,371.2550048828125,619.3200073242188,91.3499984741211,91848200,100974900,44570500,52765000,40923000
2026-05-01,280.1400146484375,268.260009765625,383.2200012207031,608.75,92.05999755859375,287.2200012207031,273.32000732421875,383.3900146484375,618.8800048828125,94.69999694824219,278.3699951171875,262.739990234375,375.260009765625,606.1099853515625,91.9000015258789,278.8599853515625,265.5799865722656,377.9800109863281,614.6900024414062,94.41999816894531,79844600,50780000,28007600,21357400,30323200
