Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23,251.49000549316406,210.13999938964844,299.0199890136719,604.0599975585938,93.37999725341797,254.60000610351562,212.8000030517578,303.3699951171875,608.6400146484375,93.9800033569336,250.27999877929688,209.50999450683594,298.0299987792969,599.010009765625,91.86000061035156,253.97000122070312,209.7899932861328,300.5299987792969,605.7899780273438,92.04000091552734,40546100,44277400,22204100,13638000,34315900
2026-03-24,251.63999938964844,207.24000549316406,289.20001220703125,592.9199829101562,90.91999816894531,254.8300018310547,209.35000610351562,297.1000061035156,601.0,93.73999786376953,249.5500030517578,206.63999938964844,288.8550109863281,591.0,90.81999969482422,250.35000610351562,207.9499969482422,296.2099914550781,599.0999755859375,92.79000091552734,45152300,35351400,27411200,10739700,28938000
2026-03-25,252.6199951171875,211.7100067138672,289.5899963378906,594.8900146484375,92.27999877929688,255.0,213.07000732421875,294.6600036621094,603.6699829101562,92.5199966430664,251.60000610351562,209.89999389648438,287.3699951171875,593.4000244140625,91.23999786376953,254.10000610351562,211.55999755859375,292.1499938964844,598.739990234375,91.70999908447266,28476700,36388800,22343000,12585000,29545600
2026-03-26,252.88999938964844,207.5399932861328,280.739990234375,547.5399780273438,93.31999969482422,257.0,212.88999938964844,286.5150146484375,583.0,95.86000061035156,250.77000427246094,207.1199951171875,279.04998779296875,543.3499755859375,91.01000213623047,252.1199951171875,210.61000061035156,286.19000244140625,582.489990234375,91.5199966430664,41796700,46746000,29281200,35780100,59522000
2026-03-27,248.8000030517578,199.33999633789062,273.760009765625,525.719970703125,93.43000030517578,255.49000549316406,206.60000610351562,279.0899963378906,543.5999755859375,95.58000183105469,248.07000732421875,199.13999938964844,273.4800109863281,520.260009765625,92.73999786376953,253.89999389648438,206.4600067138672,277.3999938964844,540.0999755859375,94.56999969482422,47842500,55855900,25644800,29980300,44503800
